Region	Auftraggeber	Art Bauwerk	Art Arbeit	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012
......7621 Tessin (Unzuteilbar)	Öffentliche Auftraggeber	Tiefbau	Neubau	45950	44001	24620	48036	116932	242431	363004	300457	293469	437087	422600	453234	423156	702648	548251	664796	565454	763169
......7621 Tessin (Unzuteilbar)	Öffentliche Auftraggeber	Tiefbau	Umbau	207041	216536	161086	154874	177186	168974	183257	176926	159860	112770	222593	242740	185272	145559	158472	160338	164883	120426
......7621 Tessin (Unzuteilbar)	Private Auftraggeber	Hochbau	Neubau	10979	7300	0	0	0	4000	4000	3300	0	0	400	400	4521	10007	2329	33794	4360	0
......7621 Tessin (Unzuteilbar)	Private Auftraggeber	Hochbau	Umbau	2190	1290	6800	1000	0	0	0	0	0	0	0	270	0	0	517	1296	1100	450
......7621 Tessin (Unzuteilbar)	Private Auftraggeber	Tiefbau	Neubau	2712	559	1800	6450	6300	470	910	300	0	0	834	787	21041	1656	27044	198	600	100
......7621 Tessin (Unzuteilbar)	Private Auftraggeber	Tiefbau	Umbau	2852	2100	2050	1950	3100	10887	4220	6297	1697	2359	2469	3500	14100	7214	1800	1800	1800	1080
......7620 Thurgau (Unzuteilbar)	Öffentliche Auftraggeber	Hochbau	Neubau	0	0	0	0	0	0	0	50	1500	871	0	0	0	0	0	0	300	190
......7620 Thurgau (Unzuteilbar)	Öffentliche Auftraggeber	Hochbau	Umbau	12723	6559	2165	0	0	2692	2380	783	1161	2676	116	1459	538	236	0	700	90	127
......7620 Thurgau (Unzuteilbar)	Öffentliche Auftraggeber	Tiefbau	Neubau	40962	46089	82520	98932	61416	49539	57126	21798	20646	4388	4660	8575	8123	10822	5938	12404	14095	11815
......7620 Thurgau (Unzuteilbar)	Öffentliche Auftraggeber	Tiefbau	Umbau	53858	26918	29542	32574	31028	29466	20133	20932	9889	20506	27572	17394	23890	21405	10378	5521	6721	21128
......7620 Thurgau (Unzuteilbar)	Private Auftraggeber	Hochbau	Neubau	0	0	2795	305	700	0	0	0	0	0	0	0	0	0	0	0	0	0
......7620 Thurgau (Unzuteilbar)	Private Auftraggeber	Hochbau	Umbau	4673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
......7620 Thurgau (Unzuteilbar)	Private Auftraggeber	Tiefbau	Neubau	39	39	319	65	226	0	0	0	0	0	20000	800	870	4490	3164	3000	2000	4384
......7620 Thurgau (Unzuteilbar)	Private Auftraggeber	Tiefbau	Umbau	998	4404	0	0	0	0	0	0	0	2192	0	0	0	600	1860	4300	2080	7257
......7619 Aargau (Unzuteilbar)	Öffentliche Auftraggeber	Hochbau	Neubau	14950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0
......7619 Aargau (Unzuteilbar)	Öffentliche Auftraggeber	Hochbau	Umbau	8306	6496	0	0	0	5382	5058	5854	3232	5010	920	350	1215	2228	672	0	503	0
